"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
484464461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289955,410355,487556,626625,3830578,195595
323527689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335793466,1287277.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416424,468433,NA
484431475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4843967,3568853,4851779.5
484431479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226721,1721008,1190891
265626640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043406,NA,590839,10906392,9850687,13391841
319536139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967561,3195146.5,2690088.5,14272978,17398877,21385019
319980447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6534654,7325311,4565098
320072068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963598,1749841,2680460
320072071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9600191,10408853,12203631
320080547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5558034,5788990,5874812
320080560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607090,NA,NA,4039533,7271510,6338046
320080577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749302,NA,1292839,10137170,6197195,7179066
